seed,model,n_go_selected,D,n_train,n_test,cv_auroc_mean,cv_auroc_std,cv_auroc_se,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,test_f1,test_precision,test_recall
1,XGBoost,155,161,1293,324,0.9494638892988287,0.011991265511933295,0.002398253102386659,0.9008310641015556,0.024525154117523658,0.9608624828532235,0.9365642857043376,0.8611111111111112,0.8611111111111112,0.8611111111111112
1,Random Forest,155,161,1293,324,0.9363098655485358,0.015612288237063326,0.003122457647412665,0.8737768816830643,0.03280376972772033,0.9549039780521262,0.9053984040726194,0.8235294117647058,0.8053097345132744,0.8425925925925926
1,Logistic Regression,155,161,1293,324,0.8953599138447577,0.01567925032589628,0.003135850065179256,0.8186823362425342,0.027245727591779813,0.9083933470507545,0.8500847549154825,0.7553648068669528,0.704,0.8148148148148148
2,XGBoost,67,73,1293,324,0.9634721138681932,0.009385202859982122,0.0018770405719964246,0.9273979881768356,0.019136093434417096,0.9334705075445816,0.8468830992688814,0.8075117370892019,0.819047619047619,0.7962962962962963
2,Random Forest,67,73,1293,324,0.9577445152319504,0.010321845999138025,0.002064369199827605,0.9142505350475054,0.020988877991413725,0.9190672153635117,0.8245859093527159,0.8075117370892019,0.819047619047619,0.7962962962962963
2,Logistic Regression,67,73,1293,324,0.9307923994061079,0.018992746687395187,0.0037985493374790374,0.8760221852784161,0.04059575473409944,0.8867026748971194,0.8181372131606075,0.7381974248927039,0.688,0.7962962962962963
3,XGBoost,90,96,1293,324,0.9496583557494569,0.01246473711313942,0.0024929474226278838,0.893551604864457,0.03413367686885341,0.9561899862825789,0.919400990241716,0.8256880733944955,0.8181818181818182,0.8333333333333334
3,Random Forest,90,96,1293,324,0.9367690066501495,0.012106628803187656,0.0024213257606375315,0.8646967144605938,0.02994414228832814,0.9495027434842249,0.895050586806605,0.8355555555555556,0.8034188034188035,0.8703703703703703
3,Logistic Regression,90,96,1293,324,0.9039329170670092,0.018470604074212582,0.0036941208148425163,0.8352601136794702,0.033037375332090814,0.9258401920438958,0.8612439135959905,0.7829787234042553,0.7244094488188977,0.8518518518518519
4,XGBoost,76,82,1293,324,0.9516337483024635,0.010934504248720067,0.0021869008497440133,0.8906705818010859,0.0271199001137789,0.964891975308642,0.9333299788759997,0.8416289592760181,0.8230088495575221,0.8611111111111112
4,Random Forest,76,82,1293,324,0.945030542810295,0.01373105625227545,0.00274621125045509,0.8833220349727654,0.030442593186015627,0.9496742112482853,0.91094223511755,0.8251121076233184,0.8,0.8518518518518519
4,Logistic Regression,76,82,1293,324,0.9144342733893512,0.01631118484182455,0.00326223696836491,0.8455083227378611,0.026704754246976287,0.9345850480109739,0.8932047228980519,0.8290598290598291,0.7698412698412699,0.8981481481481481
5,XGBoost,148,154,1293,324,0.9506453303045828,0.01236246325890556,0.0024724926517811123,0.9038758057026076,0.024645130404092126,0.9513888888888888,0.8915169928040012,0.8384279475982532,0.7933884297520661,0.8888888888888888
5,Random Forest,148,154,1293,324,0.9430600785165304,0.012798861615106417,0.0025597723230212834,0.8787959559759476,0.030778004275553408,0.9386574074074074,0.8738966906041458,0.8068669527896996,0.752,0.8703703703703703
5,Logistic Regression,148,154,1293,324,0.8979774930730378,0.0279215805236756,0.0055843161047351205,0.8408332513838824,0.032118505037070776,0.9155521262002744,0.8452370015658568,0.8071748878923767,0.782608695652174,0.8333333333333334
6,XGBoost,152,158,1293,324,0.9561442512439856,0.01034936699510023,0.002069873399020046,0.9119977211059226,0.02236456673011798,0.948602537722908,0.8875387406690576,0.8348623853211009,0.8272727272727273,0.8425925925925926
6,Random Forest,152,158,1293,324,0.94477905983187,0.012772175070111908,0.0025544350140223816,0.8854043334104164,0.028994070731584422,0.9352280521262003,0.8590140768995186,0.7982456140350878,0.7583333333333333,0.8425925925925926
6,Logistic Regression,152,158,1293,324,0.8988173837939648,0.021389771102174607,0.004277954220434922,0.824444834036091,0.04297000162100307,0.885588134430727,0.8178242361866016,0.72,0.6923076923076923,0.75
7,XGBoost,154,160,1293,324,0.9462253589283725,0.01429361285830558,0.002858722571661116,0.8802564063677607,0.036562062372466786,0.9650205761316872,0.9349655300726618,0.8636363636363636,0.8482142857142857,0.8796296296296297
7,Random Forest,154,160,1293,324,0.9360996904736983,0.015284109870800061,0.003056821974160012,0.8555352993696832,0.03585898502484735,0.9556327160493828,0.906920293844772,0.8506787330316742,0.831858407079646,0.8703703703703703
7,Logistic Regression,154,160,1293,324,0.8861056629561527,0.02220630991342121,0.004441261982684242,0.8052664213232184,0.03275497759403173,0.923568244170096,0.8504010047181112,0.8281938325991189,0.7899159663865546,0.8703703703703703
8,XGBoost,54,60,1293,324,0.9552085020179633,0.013085923278519526,0.002617184655703905,0.9149246587581596,0.02568090361437933,0.9717935528120714,0.9395967749217334,0.8609865470852018,0.8347826086956521,0.8888888888888888
8,Random Forest,54,60,1293,324,0.9427342873422719,0.015387577066319744,0.003077515413263949,0.8815174481767326,0.03031234682561577,0.9628343621399177,0.930107857902019,0.8571428571428571,0.8275862068965517,0.8888888888888888
8,Logistic Regression,54,60,1293,324,0.9239165558931255,0.016042541961096873,0.0032085083922193747,0.8721725099873647,0.02566780258740585,0.942858367626886,0.886412006568851,0.8017241379310345,0.75,0.8611111111111112
9,XGBoost,75,81,1293,324,0.9525148856606127,0.012415404698390413,0.0024830809396780827,0.9100024737937727,0.02569972960589058,0.9606910150891632,0.9308283212843893,0.852017937219731,0.8260869565217391,0.8796296296296297
9,Random Forest,75,81,1293,324,0.9424216019598626,0.013052169374737,0.0026104338749474002,0.8848516037122296,0.028212817874871877,0.9646347736625513,0.9394727765784519,0.8672566371681416,0.8305084745762712,0.9074074074074074
9,Logistic Regression,75,81,1293,324,0.9144113024550135,0.017571886104003943,0.0035143772208007886,0.8501606734197396,0.031108729884011223,0.92309670781893,0.8835000054186044,0.7739130434782608,0.7295081967213115,0.8240740740740741
10,XGBoost,157,163,1293,324,0.9579516977772238,0.009445729827392203,0.0018891459654784407,0.9115181826949634,0.02677567393075303,0.9564043209876543,0.9058243046232414,0.8506787330316742,0.831858407079646,0.8703703703703703
10,Random Forest,157,163,1293,324,0.9444117040102233,0.01070844218531494,0.0021416884370629883,0.8825157631893681,0.03292991879322069,0.9351423182441703,0.8715264828771458,0.8,0.7857142857142857,0.8148148148148148
10,Logistic Regression,157,163,1293,324,0.9082420520186296,0.016634579402526214,0.0033269158805052427,0.8441174850994885,0.03050136407381617,0.9304698216735253,0.8814725521483906,0.7894736842105263,0.75,0.8333333333333334
11,XGBoost,83,89,1293,324,0.9553761620082488,0.010165218011172601,0.00203304360223452,0.9117787961014792,0.01985944080040484,0.9532321673525377,0.8891008932378444,0.8256880733944955,0.8181818181818182,0.8333333333333334
11,Random Forest,83,89,1293,324,0.9468427161963369,0.012483984550319897,0.0024967969100639794,0.8953700256011969,0.023600001994529607,0.9472307956104252,0.8852756982137706,0.8281938325991189,0.7899159663865546,0.8703703703703703
11,Logistic Regression,83,89,1293,324,0.9203211214554847,0.015540960184263142,0.0031081920368526287,0.8655700587420314,0.02567089660979932,0.9346707818930041,0.8689183970677966,0.7983193277310925,0.7307692307692307,0.8796296296296297
12,XGBoost,149,155,1293,324,0.9573870173661219,0.010685387508952092,0.0021370775017904185,0.9201881579321183,0.019396524539909307,0.9497599451303155,0.9122295689983135,0.8090909090909091,0.7946428571428571,0.8240740740740741
12,Random Forest,149,155,1293,324,0.946165430721054,0.01062960585051147,0.002125921170102294,0.8929917054590475,0.02370872858242667,0.9334705075445816,0.8907438391227738,0.8,0.7692307692307693,0.8333333333333334
12,Logistic Regression,149,155,1293,324,0.9108427161604036,0.017332913650716267,0.0034665827301432533,0.8478473672123062,0.032676025218143286,0.8799296982167352,0.8150497326111518,0.7330316742081447,0.7168141592920354,0.75
13,XGBoost,71,77,1293,324,0.9552505057709143,0.00933416814957134,0.001866833629914268,0.9042225796195449,0.021839207857866198,0.9678069272976682,0.9191401115807901,0.8918918918918919,0.868421052631579,0.9166666666666666
13,Random Forest,71,77,1293,324,0.94242385498104,0.011437417104810943,0.0022874834209621886,0.8725388756534963,0.027834281904106212,0.9573473936899863,0.9080442784437326,0.8421052631578947,0.8,0.8888888888888888
13,Logistic Regression,71,77,1293,324,0.9170724120647092,0.013710529648612699,0.0027421059297225397,0.8467357946364777,0.034834636229833335,0.9453017832647462,0.9023775120717298,0.8311688311688312,0.7804878048780488,0.8888888888888888
14,XGBoost,73,79,1293,324,0.951636620275631,0.01024052505441261,0.002048105010882522,0.9085256617320709,0.01854588087896296,0.9453017832647462,0.8867274694461307,0.7929515418502202,0.7563025210084033,0.8333333333333334
14,Random Forest,73,79,1293,324,0.9421376429567988,0.011482630544728561,0.0022965261089457124,0.8830461365853091,0.024436798485058867,0.9516032235939643,0.8946112651255429,0.8230088495575221,0.788135593220339,0.8611111111111112
14,Logistic Regression,73,79,1293,324,0.91171971561339,0.014593222993011872,0.0029186445986023745,0.8437236073495611,0.028900495109766205,0.9272976680384089,0.8405175283951851,0.7574468085106383,0.7007874015748031,0.8240740740740741
15,XGBoost,82,88,1293,324,0.9456420131171828,0.011466016340816499,0.0022932032681633,0.8869166931401748,0.02968722678195016,0.9496742112482854,0.8986734378985095,0.8177777777777778,0.7863247863247863,0.8518518518518519
15,Random Forest,82,88,1293,324,0.9341409792607424,0.012583347597074012,0.0025166695194148024,0.8554662267121712,0.03499651953631884,0.9332990397805212,0.8367423891136373,0.7931034482758621,0.7419354838709677,0.8518518518518519
15,Logistic Regression,82,88,1293,324,0.9038899535342231,0.01565585214773237,0.003131170429546474,0.8446366126610065,0.028326927205784034,0.8949331275720165,0.7856652601220432,0.7574468085106383,0.7007874015748031,0.8240740740740741
16,XGBoost,85,91,1293,324,0.9416457378247293,0.015518745903871414,0.003103749180774283,0.8782226203710565,0.030330648985750684,0.9618484224965707,0.913074273479337,0.8421052631578947,0.8,0.8888888888888888
16,Random Forest,85,91,1293,324,0.9328927530657528,0.015792404280030224,0.0031584808560060447,0.857263565829376,0.035122148387288506,0.9523319615912209,0.90457614268718,0.8303571428571429,0.8017241379310345,0.8611111111111112
16,Logistic Regression,85,91,1293,324,0.9050369227769626,0.02223545850374824,0.004447091700749648,0.8264459212070459,0.038975788795649335,0.9329561042524004,0.8887486948640689,0.8198198198198198,0.7982456140350878,0.8425925925925926
17,XGBoost,152,158,1293,324,0.9555985493921352,0.013007012869784023,0.0026014025739568044,0.9064428107428693,0.0328243647686602,0.954303840877915,0.9079960865730601,0.8545454545454545,0.8392857142857143,0.8703703703703703
17,Random Forest,152,158,1293,324,0.939199297833553,0.01678028045953989,0.0033560560919079782,0.8702205418524247,0.045883167227723655,0.9446587791495199,0.8610288836128117,0.8165137614678899,0.8090909090909091,0.8240740740740741
17,Logistic Regression,152,158,1293,324,0.8945542749747307,0.027139862472211063,0.0054279724944422125,0.8178681835265715,0.05032165210607995,0.9317129629629629,0.8777545911336823,0.7692307692307693,0.7522123893805309,0.7870370370370371
18,XGBoost,79,85,1293,324,0.9570752601421977,0.012877093292163804,0.002575418658432761,0.9102756176488527,0.02867349341567955,0.9338563100137174,0.8747987660317919,0.8154506437768241,0.76,0.8796296296296297
18,Random Forest,79,85,1293,324,0.9472864929152546,0.013856255380536319,0.002771251076107264,0.8904501741722685,0.031474085852217934,0.928883744855967,0.8520772123725779,0.8205128205128205,0.7619047619047619,0.8888888888888888
18,Logistic Regression,79,85,1293,324,0.9199987985683723,0.018529599312966286,0.003705919862593257,0.8510346505173682,0.03463382093987975,0.8781292866941015,0.7992220514007073,0.7467811158798283,0.696,0.8055555555555556
19,XGBoost,151,157,1293,324,0.9542269853796891,0.01184872598187545,0.00236974519637509,0.9057444336266532,0.02545512180237729,0.9537465706447188,0.9191640191408431,0.8378378378378378,0.8157894736842105,0.8611111111111112
19,Random Forest,151,157,1293,324,0.9421026799848606,0.012520616340852905,0.002504123268170581,0.8679509076051555,0.03478273843190845,0.937457133058985,0.8843904309632538,0.832579185520362,0.8141592920353983,0.8518518518518519
19,Logistic Regression,151,157,1293,324,0.8965734399202797,0.016118074598032384,0.0032236149196064766,0.8178371128531622,0.029574201262800175,0.920224622770919,0.8590648822615252,0.7931034482758621,0.7419354838709677,0.8518518518518519
20,XGBoost,79,85,1293,324,0.9600099750985462,0.009395700191039488,0.0018791400382078976,0.9214095802649293,0.018714928738959156,0.9657493141289437,0.9310305153555465,0.8508771929824561,0.8083333333333333,0.8981481481481481
20,Random Forest,79,85,1293,324,0.9499765922957671,0.008723722274794687,0.0017447444549589374,0.8983677760977664,0.018069040285100577,0.9487740054869684,0.8949623106022688,0.8173913043478261,0.7704918032786885,0.8703703703703703
20,Logistic Regression,79,85,1293,324,0.9154402786070897,0.018923614032994474,0.003784722806598895,0.8519865011628238,0.02922038317976213,0.9350565843621399,0.8872196218693215,0.7851239669421488,0.7089552238805971,0.8796296296296297
