pathway_id,pathway_name,family,source,n_genes,jaccard_mean
AC_PWY4FS-2,phosphatidylcholine biosynthesis II,Specialized/other biosynthesis,AraCyc,11,0.13711499581820438
AC_PWY4FS-3,phosphatidylcholine biosynthesis III,Specialized/other biosynthesis,AraCyc,8,0.1492500205210289
AC_PWY4FS-4,phosphatidylcholine biosynthesis IV,Specialized/other biosynthesis,AraCyc,8,0.1492500205210289
AC_PWY4FS-7,phosphatidylglycerol biosynthesis I,Lipid metabolism,AraCyc,13,0.14267290752168105
AC_PWY4FS-8,phosphatidylglycerol biosynthesis II,Lipid metabolism,AraCyc,32,0.10267382276183691
AC_PWY66-21,ethanol degradation II,Degradation/catabolism,AraCyc,6,0.1355726878485499
AC_PWY66-367,ketogenesis,Other AraCyc,AraCyc,6,0.10768909453119978
AC_PWY66-385,dTMP de novo biosynthesis (mitochondrial),Specialized/other biosynthesis,AraCyc,12,0.20580742420085532
AC_PWY66-423,"fructose 2,6-bisphosphate biosynthesis",Carbohydrate metabolism,AraCyc,5,0.3109523809523809
AC_PWY66-430,tetradecanoate biosynthesis (mitochondria),Specialized/other biosynthesis,AraCyc,19,0.10508748643202426
AC_PWYDQC-4,indole-3-acetate biosynthesis I,Specialized/other biosynthesis,AraCyc,15,0.29757543205673515
AC_PWYQT-4429,CO2 fixation into oxaloacetate (anaplerotic),Other AraCyc,AraCyc,21,0.21564019937113796
AC_PWYQT-4445,pyrimidine salvage pathway,Degradation/catabolism,AraCyc,12,0.16579033909247815
AC_PWYQT-4449,polyisoprenoid biosynthesis,Specialized/other biosynthesis,AraCyc,17,0.4614529984078856
AC_PWYQT-4450,"aliphatic glucosinolate biosynthesis, side chain elongation cycle",Specialized/other biosynthesis,AraCyc,5,0.23717078312498288
AC_PWYQT-4466,superpathway of sucrose and starch metabolism I (non-photosynthetic tissue),Carbohydrate metabolism,AraCyc,58,0.08675374543007677
AC_PWYQT-4471,glucosinolate biosynthesis from dihomomethionine,Amino acid metabolism,AraCyc,47,0.08837679640620817
AC_PWYQT-4472,glucosinolate biosynthesis from trihomomethionine,Amino acid metabolism,AraCyc,32,0.13622179407893695
AC_PWYQT-4473,glucosinolate biosynthesis from tetrahomomethionine,Amino acid metabolism,AraCyc,32,0.13967591931877646
AC_PWYQT-4474,glucosinolate biosynthesis from pentahomomethionine,Amino acid metabolism,AraCyc,32,0.16760815592748365
AC_PWYQT-4475,glucosinolate biosynthesis from hexahomomethionine,Amino acid metabolism,AraCyc,33,0.11678355742788564
AC_PWYQT-4477,indole glucosinolate activation (intact plant cell),Specialized/other biosynthesis,AraCyc,18,0.2809578722504419
AC_PWYQT-4481,TCA cycle variation V (plant),Other AraCyc,AraCyc,36,0.16189131103133633
AC_PWYQT-4482,CDP-diacylglycerol biosynthesis IV,Lipid metabolism,AraCyc,11,0.19852122476454026
AC_PWYQT-62,superpathway of proto- and siroheme biosynthesis,Cofactor/vitamin metabolism,AraCyc,21,0.2010670769371902
AC_PWYQT-94,superpathway of polyamine biosynthesis,Specialized/other biosynthesis,AraCyc,8,0.25850191475191475
AC_PYRIDNUCSYN-PWY,NAD de novo biosynthesis I,Specialized/other biosynthesis,AraCyc,5,0.12072473278355629
AC_PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA I,Other AraCyc,AraCyc,16,0.23051107207946236
AC_RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),Specialized/other biosynthesis,AraCyc,13,0.19971196161807026
AC_SER-GLYSYN-PWY,superpathway of L-serine and glycine biosynthesis I,Amino acid metabolism,AraCyc,13,0.20936817880782216
AC_SERSYN-PWY,L-serine biosynthesis I,Amino acid metabolism,AraCyc,6,0.300941277791123
AC_SUCSYN-PWY,sucrose biosynthesis I (from photosynthesis),Carbohydrate metabolism,AraCyc,40,0.135720101748748
AC_THISYNARA-PWY,superpathway of thiamine diphosphate biosynthesis III (eukaryotes),Cofactor/vitamin metabolism,AraCyc,9,0.12403149563237283
AC_THRESYN-PWY,superpathway of L-threonine biosynthesis,Amino acid metabolism,AraCyc,19,0.17607702358635893
AC_TRESYN-PWY,trehalose biosynthesis I,Carbohydrate metabolism,AraCyc,21,0.5053803339517624
AC_TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,Lipid metabolism,AraCyc,57,0.10247609166595194
AC_TRPSYN-PWY,L-tryptophan biosynthesis,Amino acid metabolism,AraCyc,21,0.30891288605574313
AC_TYRFUMCAT-PWY,L-tyrosine degradation I,Degradation/catabolism,AraCyc,10,0.20161035679007439
AC_UDPNACETYLGALSYN-PWY,UDP-N-acetyl-D-glucosamine biosynthesis II,Specialized/other biosynthesis,AraCyc,16,0.14632507061602126
AC_VALDEG-PWY,L-valine degradation I,Degradation/catabolism,AraCyc,14,0.23739849339753713
AC_VALSYN-PWY,L-valine biosynthesis,Amino acid metabolism,AraCyc,7,0.3067283442157007
ath00010,Glycolysis / Gluconeogenesis,Carbohydrate metabolism,KEGG,119,0.12383813193093923
ath00020,Citrate cycle (TCA cycle),Other KEGG/cellular,KEGG,64,0.1277609099164909
ath00030,Pentose phosphate pathway,Carbohydrate metabolism,KEGG,58,0.1422329545679787
ath00040,Pentose and glucuronate interconversions,Carbohydrate metabolism,KEGG,108,0.18394716394716393
ath00051,Fructose and mannose metabolism,Carbohydrate metabolism,KEGG,62,0.12893290175694186
ath00052,Galactose metabolism,Carbohydrate metabolism,KEGG,65,0.07920723507607925
ath00053,Ascorbate and aldarate metabolism,Other KEGG/cellular,KEGG,62,0.08121091882910199
ath00061,Fatty acid biosynthesis,Lipid metabolism,KEGG,43,0.17723089558346816
ath00062,Fatty acid elongation,Lipid metabolism,KEGG,36,0.28664179488540587
ath00071,Fatty acid degradation,Degradation/catabolism,KEGG,47,0.10615146621787584
ath00073,"Cutin, suberine and wax biosynthesis",Lipid metabolism,KEGG,65,0.13287297780071294
ath00100,Steroid biosynthesis,Lipid metabolism,KEGG,36,0.14613057769625662
ath00130,Ubiquinone and other terpenoid-quinone biosynthesis,Specialized/other biosynthesis,KEGG,40,0.0741538977682918
ath00190,Oxidative phosphorylation,Energy metabolism,KEGG,170,0.061254108697736655
ath00195,Photosynthesis,Energy metabolism,KEGG,77,0.07787216426303355
ath00196,Photosynthesis,Energy metabolism,KEGG,22,0.4020429984077047
ath00220,Arginine biosynthesis,Amino acid metabolism,KEGG,38,0.11001769723457662
ath00230,Purine metabolism,Other KEGG/cellular,KEGG,96,0.08263679686116851
ath00240,Pyrimidine metabolism,Other KEGG/cellular,KEGG,65,0.09370978768148162
ath00250,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,KEGG,51,0.07883668300652757
ath00260,"Glycine, serine and threonine metabolism",Amino acid metabolism,KEGG,70,0.09305025417516063
ath00261,Monobactam biosynthesis,Specialized/other biosynthesis,KEGG,14,0.2596072802912016
ath00270,Cysteine and methionine metabolism,Amino acid metabolism,KEGG,125,0.08564255023422764
ath00280,"Valine, leucine and isoleucine degradation",Degradation/catabolism,KEGG,52,0.10187750503253992
ath00290,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,KEGG,21,0.20518298254849993
ath00300,Lysine biosynthesis,Amino acid metabolism,KEGG,15,0.26654585694958366
ath00310,Lysine degradation,Degradation/catabolism,KEGG,32,0.08348431305656888
ath00330,Arginine and proline metabolism,Amino acid metabolism,KEGG,54,0.07268532568317837
ath00340,Histidine metabolism,Amino acid metabolism,KEGG,19,0.1498280797535552
ath00350,Tyrosine metabolism,Amino acid metabolism,KEGG,41,0.13245151793948498
ath00360,Phenylalanine metabolism,Amino acid metabolism,KEGG,33,0.08841468250091629
ath00380,Tryptophan metabolism,Amino acid metabolism,KEGG,64,0.05620933034808384
ath00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,KEGG,56,0.13967892084868028
ath00410,beta-Alanine metabolism,Amino acid metabolism,KEGG,47,0.10564361839924787
ath00430,Taurine and hypotaurine metabolism,Other KEGG/cellular,KEGG,11,0.17450380427653156
ath00440,Phosphonate and phosphinate metabolism,Other KEGG/cellular,KEGG,5,0.273863717981365
ath00450,Selenocompound metabolism,Other KEGG/cellular,KEGG,16,0.13696174621054916
ath00460,Cyanoamino acid metabolism,Amino acid metabolism,KEGG,71,0.12817305978857435
ath00470,D-Amino acid metabolism,Amino acid metabolism,KEGG,6,0.18158258408258413
ath00480,Glutathione metabolism,Other KEGG/cellular,KEGG,102,0.10900149666765416
ath00500,Starch and sucrose metabolism,Carbohydrate metabolism,KEGG,181,0.09342520535797846
ath00510,N-Glycan biosynthesis,Carbohydrate metabolism,KEGG,49,0.09928366267375556
ath00511,Other glycan degradation,Degradation/catabolism,KEGG,19,0.1513769206206181
ath00513,Various types of N-glycan biosynthesis,Carbohydrate metabolism,KEGG,35,0.09849182031623428
ath00514,Other types of O-glycan biosynthesis,Carbohydrate metabolism,KEGG,13,0.1598444047330687
ath00520,Amino sugar and nucleotide sugar metabolism,Other KEGG/cellular,KEGG,124,0.038138095474739515
ath00531,Glycosaminoglycan degradation,Degradation/catabolism,KEGG,9,0.1684933122433122
ath00540,Lipopolysaccharide biosynthesis,Specialized/other biosynthesis,KEGG,10,0.4698412698412697
ath00541,Biosynthesis of various nucleotide sugars,Specialized/other biosynthesis,KEGG,30,0.07433654214149571
ath00543,Exopolysaccharide biosynthesis,Specialized/other biosynthesis,KEGG,5,0.5950216450216451
ath00561,Glycerolipid metabolism,Lipid metabolism,KEGG,71,0.04903861019354356
ath00562,Inositol phosphate metabolism,Other KEGG/cellular,KEGG,83,0.05138916980879265
ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Specialized/other biosynthesis,KEGG,29,0.17352269423697997
ath00564,Glycerophospholipid metabolism,Lipid metabolism,KEGG,99,0.050987601886540404
ath00565,Ether lipid metabolism,Lipid metabolism,KEGG,26,0.09204427164080774
ath00566,Sulfoquinovose metabolism,Other KEGG/cellular,KEGG,11,0.251282653688889
ath00590,Arachidonic acid metabolism,Other KEGG/cellular,KEGG,12,0.08209518926518646
ath00591,Linoleic acid metabolism,Lipid metabolism,KEGG,9,0.1701688951348977
ath00592,alpha-Linolenic acid metabolism,Lipid metabolism,KEGG,43,0.06514098415581981
ath00600,Sphingolipid metabolism,Lipid metabolism,KEGG,35,0.09843766930564807
ath00601,Glycosphingolipid biosynthesis,Lipid metabolism,KEGG,5,0.6166666666666666
ath00603,Glycosphingolipid biosynthesis,Lipid metabolism,KEGG,11,0.20230486685032134
ath00604,Glycosphingolipid biosynthesis,Lipid metabolism,KEGG,5,0.3044044844044844
ath00620,Pyruvate metabolism,Other KEGG/cellular,KEGG,97,0.0882385001847629
ath00630,Glyoxylate and dicarboxylate metabolism,Other KEGG/cellular,KEGG,81,0.10601039211081772
ath00640,Propanoate metabolism,Other KEGG/cellular,KEGG,42,0.1370065762659436
ath00650,Butanoate metabolism,Other KEGG/cellular,KEGG,20,0.1003301842572255
ath00660,C5-Branched dibasic acid metabolism,Other KEGG/cellular,KEGG,7,0.19655234256627444
ath00670,One carbon pool by folate,Cofactor/vitamin metabolism,KEGG,42,0.08904050403439262
ath00710,Carbon fixation by Calvin cycle,Energy metabolism,KEGG,71,0.13310028829553022
ath00730,Thiamine metabolism,Cofactor/vitamin metabolism,KEGG,21,0.11711220808078947
ath00740,Riboflavin metabolism,Cofactor/vitamin metabolism,KEGG,20,0.13768938189106258
ath00750,Vitamin B6 metabolism,Cofactor/vitamin metabolism,KEGG,15,0.0945283503027095
ath00760,Nicotinate and nicotinamide metabolism,Cofactor/vitamin metabolism,KEGG,26,0.06704119472572911
ath00770,Pantothenate and CoA biosynthesis,Cofactor/vitamin metabolism,KEGG,34,0.07065934597778914
ath00780,Biotin metabolism,Cofactor/vitamin metabolism,KEGG,16,0.10453807413449165
ath00785,Lipoic acid metabolism,Other KEGG/cellular,KEGG,36,0.1360369879710591
ath00790,Folate biosynthesis,Cofactor/vitamin metabolism,KEGG,32,0.07104556725369467
ath00860,Porphyrin metabolism,Cofactor/vitamin metabolism,KEGG,57,0.13264911993244652
ath00900,Terpenoid backbone biosynthesis,Specialized/other biosynthesis,KEGG,61,0.10906478519544842
ath00901,Indole alkaloid biosynthesis,Specialized/other biosynthesis,KEGG,5,0.16753614806246386
ath00902,Monoterpenoid biosynthesis,Specialized/other biosynthesis,KEGG,7,0.24419577772629522
ath00904,Diterpenoid biosynthesis,Specialized/other biosynthesis,KEGG,25,0.16392553644912486
ath00905,Brassinosteroid biosynthesis,Lipid metabolism,KEGG,9,0.31440526338894786
ath00906,Carotenoid biosynthesis,Cofactor/vitamin metabolism,KEGG,32,0.08888532240646987
ath00908,Zeatin biosynthesis,Specialized/other biosynthesis,KEGG,32,0.12989798753509504
ath00909,Sesquiterpenoid and triterpenoid biosynthesis,Specialized/other biosynthesis,KEGG,23,0.14214247122271662
ath00910,Nitrogen metabolism,Energy metabolism,KEGG,43,0.1324359547114965
ath00920,Sulfur metabolism,Energy metabolism,KEGG,40,0.14924332126999384
ath00940,Phenylpropanoid biosynthesis,Specialized/other biosynthesis,KEGG,130,0.16045518452590832
ath00941,Flavonoid biosynthesis,Specialized/other biosynthesis,KEGG,25,0.14193783126503356
ath00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",Specialized/other biosynthesis,KEGG,9,0.12066040646739903
ath00950,Isoquinoline alkaloid biosynthesis,Specialized/other biosynthesis,KEGG,22,0.1563867419888063
ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",Specialized/other biosynthesis,KEGG,39,0.11960902656187394
ath00966,Glucosinolate biosynthesis,Specialized/other biosynthesis,KEGG,26,0.12456057858035276
ath00970,Aminoacyl-tRNA biosynthesis,Specialized/other biosynthesis,KEGG,713,0.0
ath00999,Biosynthesis of various plant secondary metabolites,Specialized/other biosynthesis,KEGG,70,0.23949900162085036
ath01040,Biosynthesis of unsaturated fatty acids,Lipid metabolism,KEGG,25,0.12099937817245793
ath01100,Metabolic pathways,Other KEGG/cellular,KEGG,2431,0.020025501060441354
ath01110,Biosynthesis of secondary metabolites,Specialized/other biosynthesis,KEGG,1353,0.036724103333260504
ath01200,Carbon metabolism,Other KEGG/cellular,KEGG,275,0.05952034886956109
ath01210,2-Oxocarboxylic acid metabolism,Other KEGG/cellular,KEGG,103,0.0809630525360325
ath01212,Fatty acid metabolism,Lipid metabolism,KEGG,70,0.05796272366607156
ath01230,Biosynthesis of amino acids,Amino acid metabolism,KEGG,242,0.0968643724934708
ath01232,Nucleotide metabolism,Other KEGG/cellular,KEGG,84,0.06488963454354872
ath01240,Biosynthesis of cofactors,Cofactor/vitamin metabolism,KEGG,239,0.04648742030747557
ath01250,Biosynthesis of nucleotide sugars,Specialized/other biosynthesis,KEGG,101,0.07322040557659015
ath01320,Sulfur cycle,Other KEGG/cellular,KEGG,21,0.21573092280545722
ath02010,ABC transporters,Other KEGG/cellular,KEGG,68,0.42014398710792167
ath03008,Ribosome biogenesis in eukaryotes,Other KEGG/cellular,KEGG,98,0.07421569775453205
ath03010,Ribosome,Other KEGG/cellular,KEGG,394,0.25272760300292363
ath03013,Nucleocytoplasmic transport,Other KEGG/cellular,KEGG,105,0.12056461973409371
ath03015,mRNA surveillance pathway,Other KEGG/cellular,KEGG,119,0.2370538333431564
ath03018,RNA degradation,Degradation/catabolism,KEGG,114,0.10728604879975953
ath03020,RNA polymerase,Other KEGG/cellular,KEGG,52,0.2577997856844011
ath03022,Basal transcription factors,Other KEGG/cellular,KEGG,55,0.16433005504986928
ath03030,DNA replication,Other KEGG/cellular,KEGG,43,0.24142467054582703
ath03040,Spliceosome,Other KEGG/cellular,KEGG,243,0.06992813983382026
ath03050,Proteasome,Other KEGG/cellular,KEGG,61,0.2619009856426928
ath03060,Protein export,Other KEGG/cellular,KEGG,62,0.11790995607337934
ath03082,ATP-dependent chromatin remodeling,Energy metabolism,KEGG,64,0.17207096735224162
ath03083,Polycomb repressive complex,Other KEGG/cellular,KEGG,69,0.16465499249223264
ath03250,Viral life cycle,Other KEGG/cellular,KEGG,39,0.09674692367593098
ath03272,Virion,Other KEGG/cellular,KEGG,12,0.113134103771685
ath03410,Base excision repair,Other KEGG/cellular,KEGG,50,0.19395596131553677
ath03420,Nucleotide excision repair,Other KEGG/cellular,KEGG,85,0.14085021713569748
ath03430,Mismatch repair,Other KEGG/cellular,KEGG,32,0.1829411470127871
ath03440,Homologous recombination,Other KEGG/cellular,KEGG,60,0.1473056509240384
ath03450,Non-homologous end-joining,Other KEGG/cellular,KEGG,8,0.22105715914393478
ath03460,Fanconi anemia pathway,Other KEGG/cellular,KEGG,46,0.18209766324810006
ath04016,MAPK signaling pathway,Signalling/regulatory,KEGG,146,0.07582128742657147
ath04070,Phosphatidylinositol signaling system,Signalling/regulatory,KEGG,79,0.08492914981002207
ath04075,Plant hormone signal transduction,Signalling/regulatory,KEGG,433,0.10653696850598321
ath04081,Hormone signaling,Signalling/regulatory,KEGG,8,0.2955134406234583
ath04082,Neuroactive ligand signaling,Signalling/regulatory,KEGG,9,0.36578703703703697
ath04120,Ubiquitin mediated proteolysis,Other KEGG/cellular,KEGG,163,0.20853942120748842
ath04122,Sulfur relay system,Other KEGG/cellular,KEGG,13,0.1702509850733548
ath04130,SNARE interactions in vesicular transport,Other KEGG/cellular,KEGG,55,0.18544545330277942
ath04136,Autophagy,Other KEGG/cellular,KEGG,41,0.16300291295123323
ath04141,Protein processing in endoplasmic reticulum,Other KEGG/cellular,KEGG,220,0.09338792103490615
ath04142,Lysosome biogenesis,Other KEGG/cellular,KEGG,193,0.06383862556572144
ath04144,Endocytosis,Other KEGG/cellular,KEGG,156,0.12136153164901507
ath04145,Phagosome,Other KEGG/cellular,KEGG,87,0.17264860626673087
ath04146,Peroxisome,Other KEGG/cellular,KEGG,90,0.08833274255284204
ath04148,Efferocytosis,Other KEGG/cellular,KEGG,53,0.09238431984286212
ath04382,Cornified envelope formation,Other KEGG/cellular,KEGG,35,0.14379827343574628
ath04517,IgSF CAM signaling,Signalling/regulatory,KEGG,50,0.14660421729110715
ath04518,Integrin signaling,Signalling/regulatory,KEGG,14,0.259027960344122
ath04519,Cadherin signaling,Signalling/regulatory,KEGG,65,0.1558154784274764
ath04620,Toll-like receptor signaling pathway,Signalling/regulatory,KEGG,15,0.22952860426274085
ath04626,Plant-pathogen interaction,Other KEGG/cellular,KEGG,216,0.10481112168792973
ath04712,Circadian rhythm,Signalling/regulatory,KEGG,43,0.1240514896034073
ath04814,Motor proteins,Other KEGG/cellular,KEGG,82,0.12354727907484765
ath04820,Cytoskeleton in muscle cells,Other KEGG/cellular,KEGG,8,0.12194505840735508
ath04981,Folate transport and metabolism,Cofactor/vitamin metabolism,KEGG,40,0.1582039262046694
ath05100,Bacterial invasion of epithelial cells,Other KEGG/cellular,KEGG,26,0.16821537092792324
